modo1,modo2,modo3,modo4
5.567561388015747,0,0,0

24.3259015083313,0,0,0

53.617321491241455,0,0,0

29.35766911506653,0,0,0

3.319645643234253,0,0,0

5.056707859039307,0,0,0

57.63689303398132,0,0,0

6.572217702865601,0,0,0

19.04718041419983,16.069734811782837,0,0

0,14.65618634223938,0,0

0,77.72778177261353,3.5170016288757324,0

0,0,31.226573944091797,68.30055952072144

171.920086145401,167.20195722579956,30.27935218811035,1127.1819550991058

115.60702991485596,0,0,0

20.830140829086304,211.8274118900299,0,0

3.5179355144500732,0,0,0

16.34207248687744,0,0,0

119.85904145240784,0,0,0

19.015687227249146,31.769429206848145,0,0

0,21.475675106048584,61.14234256744385,87.40457224845886

0,0,0,22.38283061981201

0,0,0,255.16141939163208

0,0,0,45.0317108631134

0,0,0,54.73495626449585

25.455101251602173,0,0,23.010504961013794

23.41920256614685,0,0,20.342604160308838

57.32732033729553,93.34245657920837,0,52.13186287879944

26.984551429748535,0,0,59.35192012786865

37.11016583442688,47.813130617141724,0,287.3920578956604

0,0,6.729676008224487,32.80525755882263

0,0,94.15131855010986,0

0,0,0,5.022479772567749

3.5248632431030273,0,0,0

6.0281407833099365,0,0,3.8364782333374023

245.97003078460693,0,0,13.690011262893677

12.159578323364258,0,20.269566535949707,0

14.045071125030518,14.172313451766968,0,112.55097937583923

20.218698740005493,0,0,0
24.87854838371277,0,0,0
14.044972896575928,0,0,0
14.071913957595825,0,0,0
4.360729932785034,0,0,0
108.19226384162903,0,0,0
12.779518604278564,55.28882670402527,137.89347290992737,9.868934869766235
7.395450830459595,49.82783102989197,0,0
0,45.771164417266846,0,0
0,21.091016054153442,0,0
193.53151440620422,0,0,0
171.46727108955383,0,0,0
75.175940990448,0,0,0
16.0721333026886,85.75551843643188,0,24.152215242385864
2.5522396564483643,134.47688627243042,0,0
0,77.81152319908142,0,0
0,83.7336688041687,0,0
0,115.43157076835632,0,0
492.95635962486267,0,0,0
2867.8870322704315,49.83715271949768,0,0
0,82.38980746269226,0,380.16041827201843
494.5471215248108,0,0,634.3240413665771
0,0,0,14.621982097625732
0,0,0,1165.5681855678558
0,251.18707489967346,0,44.41260623931885
